county,date,spreading_prob
Alexander,2021-12-01,0.938333333333333
Alexander,2021-12-02,0.932333333333333
Alexander,2021-12-03,0.931333333333333
Alexander,2021-12-04,0.925333333333333
Alexander,2021-12-05,0.918
Alexander,2021-12-06,0.910666666666667
Alexander,2021-12-07,0.903333333333333
Alexander,2021-12-08,0.899333333333333
Alexander,2021-12-09,0.893666666666667
Alexander,2021-12-10,0.884666666666667
Alexander,2021-12-11,0.876666666666667
Alexander,2021-12-12,0.875
Alexander,2021-12-13,0.863666666666667
Alexander,2021-12-14,0.855333333333333
Alexander,2021-12-15,0.849666666666667
Alexander,2021-12-16,0.839333333333333
Alexander,2021-12-17,0.826333333333333
Alexander,2021-12-18,0.814333333333333
Alexander,2021-12-19,0.809
Alexander,2021-12-20,0.799333333333333
Alexander,2021-12-21,0.792
Alexander,2021-12-22,0.781666666666667
Alexander,2021-12-23,0.775333333333333
Alexander,2021-12-24,0.762
Alexander,2021-12-25,0.756
Alexander,2021-12-26,0.748666666666667
Alexander,2021-12-27,0.741333333333333
Alexander,2021-12-28,0.734
Alexander,2021-12-29,0.730666666666667
Alexander,2021-12-30,0.722333333333333
Alexander,2021-12-31,0.722333333333333
Alexander,2022-01-01,0.722333333333333
Alexander,2022-01-02,0.722333333333333
Alexander,2022-01-03,0.722333333333333
Alexander,2022-01-04,0.722333333333333
Alexander,2022-01-05,0.722333333333333
Alexander,2022-01-06,0.722333333333333
Alexander,2022-01-07,0.722333333333333
Alexander,2022-01-08,0.722333333333333
Alexander,2022-01-09,0.722333333333333
Alexander,2022-01-10,0.722333333333333
Alexander,2022-01-11,0.722333333333333
Alexander,2022-01-12,0.722333333333333
Alexander,2022-01-13,0.722333333333333
Alleghany,2021-10-08,0.546
Alleghany,2021-10-09,0.496
Alleghany,2021-10-10,0.437666666666667
Alleghany,2021-10-11,0.387
Alleghany,2021-10-12,0.356
Alleghany,2021-10-13,0.343666666666667
Alleghany,2021-10-14,0.348
Alleghany,2021-10-15,0.361333333333333
Alleghany,2021-10-16,0.380333333333333
Alleghany,2021-10-17,0.412666666666667
Alleghany,2021-10-18,0.447666666666667
Alleghany,2021-10-19,0.503
Alleghany,2021-10-20,0.562666666666667
Alleghany,2021-10-21,0.652333333333333
Alleghany,2021-10-22,0.749333333333333
Alleghany,2021-10-23,0.846666666666667
Alleghany,2021-10-24,0.926
Alleghany,2021-10-25,0.972333333333333
Alleghany,2021-10-26,0.992
Alleghany,2021-10-27,0.996666666666667
Alleghany,2021-10-28,0.998666666666667
Alleghany,2021-10-29,1
Alleghany,2021-10-30,1
Alleghany,2021-10-31,1
Alleghany,2021-11-01,1
Alleghany,2021-11-02,1
Alleghany,2021-11-03,1
Alleghany,2021-11-04,1
Alleghany,2021-11-05,1
Alleghany,2021-11-06,0.999666666666667
Alleghany,2021-11-07,0.999333333333333
Alleghany,2021-11-08,0.999
Alleghany,2021-11-09,0.992333333333333
Alleghany,2021-11-10,0.966
Alleghany,2021-11-11,0.901333333333333
Alleghany,2021-11-12,0.809
Alleghany,2021-11-13,0.713333333333333
Alleghany,2021-11-14,0.631
Alleghany,2021-11-15,0.575666666666667
Alleghany,2021-11-16,0.54
Alleghany,2021-11-17,0.513666666666667
Alleghany,2021-11-18,0.497333333333333
Alleghany,2021-11-19,0.491666666666667
Alleghany,2021-11-20,0.499
Alleghany,2021-11-21,0.516666666666667
Alleghany,2021-11-22,0.559
Alleghany,2021-11-23,0.636666666666667
Alleghany,2021-11-24,0.706333333333333
Alleghany,2021-11-25,0.767666666666667
Alleghany,2021-11-26,0.808666666666667
Alleghany,2021-11-27,0.828666666666667
Alleghany,2021-11-28,0.822333333333333
Alleghany,2021-11-29,0.816333333333333
Alleghany,2021-11-30,0.807666666666667
Alleghany,2021-12-01,0.787666666666667
Alleghany,2021-12-02,0.764
Alleghany,2021-12-03,0.729333333333333
Alleghany,2021-12-04,0.672666666666667
Alleghany,2021-12-05,0.595
Alleghany,2021-12-06,0.500333333333333
Alleghany,2021-12-07,0.400333333333333
Alleghany,2021-12-08,0.311666666666667
Alleghany,2021-12-09,0.225666666666667
Alleghany,2021-12-10,0.173
Alleghany,2021-12-11,0.137
Alleghany,2021-12-12,0.103
Alleghany,2021-12-13,0.0876666666666667
Alleghany,2021-12-14,0.0786666666666667
Alleghany,2021-12-15,0.078
Alleghany,2021-12-16,0.0883333333333333
Alleghany,2021-12-17,0.0936666666666667
Alleghany,2021-12-18,0.113666666666667
Alleghany,2021-12-19,0.137
Alleghany,2021-12-20,0.169
Alleghany,2021-12-21,0.208666666666667
Alleghany,2021-12-22,0.252666666666667
Alleghany,2021-12-23,0.288666666666667
Alleghany,2021-12-24,0.311666666666667
Alleghany,2021-12-25,0.33
Alleghany,2021-12-26,0.343333333333333
Alleghany,2021-12-27,0.358333333333333
Alleghany,2021-12-28,0.369333333333333
Alleghany,2021-12-29,0.381333333333333
Alleghany,2021-12-30,0.391
Alleghany,2021-12-31,0.391
Alleghany,2022-01-01,0.391
Alleghany,2022-01-02,0.391
Alleghany,2022-01-03,0.391
Alleghany,2022-01-04,0.391
Alleghany,2022-01-05,0.391
Alleghany,2022-01-06,0.391
Alleghany,2022-01-07,0.391
Alleghany,2022-01-08,0.391
Alleghany,2022-01-09,0.391
Alleghany,2022-01-10,0.391
Alleghany,2022-01-11,0.391
Alleghany,2022-01-12,0.391
Alleghany,2022-01-13,0.391
Anson,2021-10-08,0.406666666666667
Anson,2021-10-09,0.416
Anson,2021-10-10,0.422666666666667
Anson,2021-10-11,0.442666666666667
Anson,2021-10-12,0.462
Anson,2021-10-13,0.486333333333333
Anson,2021-10-14,0.521666666666667
Anson,2021-10-15,0.556333333333333
Anson,2021-10-16,0.597
Anson,2021-10-17,0.628666666666667
Anson,2021-10-18,0.654
Anson,2021-10-19,0.668333333333333
Anson,2021-10-20,0.675666666666667
Anson,2021-10-21,0.673
Anson,2021-10-22,0.661333333333333
Anson,2021-10-23,0.644333333333333
Anson,2021-10-24,0.616
Anson,2021-10-25,0.580666666666667
Anson,2021-10-26,0.541333333333333
Anson,2021-10-27,0.476333333333333
Anson,2021-10-28,0.415333333333333
Anson,2021-10-29,0.338666666666667
Anson,2021-10-30,0.267333333333333
Anson,2021-10-31,0.202
Anson,2021-11-01,0.137333333333333
Anson,2021-11-02,0.095
Anson,2021-11-03,0.061
Anson,2021-11-04,0.0423333333333333
Anson,2021-11-05,0.0283333333333333
Anson,2021-11-06,0.0203333333333333
Anson,2021-11-07,0.0173333333333333
Anson,2021-11-08,0.0143333333333333
Anson,2021-11-09,0.01
Anson,2021-11-10,0.00833333333333333
Anson,2021-11-11,0.00933333333333333
Anson,2021-11-12,0.0106666666666667
Anson,2021-11-13,0.012
Anson,2021-11-14,0.0186666666666667
Anson,2021-11-15,0.0286666666666667
Anson,2021-11-16,0.037
Anson,2021-11-17,0.0523333333333333
Anson,2021-11-18,0.066
Anson,2021-11-19,0.0893333333333333
Anson,2021-11-20,0.119666666666667
Anson,2021-11-21,0.154666666666667
Anson,2021-11-22,0.196333333333333
Anson,2021-11-23,0.253666666666667
Anson,2021-11-24,0.321666666666667
Anson,2021-11-25,0.39
Anson,2021-11-26,0.462
Anson,2021-11-27,0.535
Anson,2021-11-28,0.604333333333333
Anson,2021-11-29,0.688666666666667
Anson,2021-11-30,0.756333333333333
Anson,2021-12-01,0.818666666666667
Anson,2021-12-02,0.857
Anson,2021-12-03,0.894666666666667
Anson,2021-12-04,0.923
Anson,2021-12-05,0.941666666666667
Anson,2021-12-06,0.956
Anson,2021-12-07,0.965666666666667
Anson,2021-12-08,0.977666666666667
Anson,2021-12-09,0.986
Anson,2021-12-10,0.991666666666667
Anson,2021-12-11,0.995
Anson,2021-12-12,0.997333333333333
Anson,2021-12-13,0.999
Anson,2021-12-14,0.999666666666667
Anson,2021-12-15,0.999666666666667
Anson,2021-12-16,1
Anson,2021-12-17,1
Anson,2021-12-18,1
Anson,2021-12-19,0.999666666666667
Anson,2021-12-20,0.999666666666667
Anson,2021-12-21,0.999333333333333
Anson,2021-12-22,0.999
Anson,2021-12-23,0.998
Anson,2021-12-24,0.997333333333333
Anson,2021-12-25,0.995666666666667
Anson,2021-12-26,0.994
Anson,2021-12-27,0.992333333333333
Anson,2021-12-28,0.988666666666667
Anson,2021-12-29,0.984
Anson,2021-12-30,0.979333333333333
Anson,2021-12-31,0.979333333333333
Anson,2022-01-01,0.979333333333333
Anson,2022-01-02,0.979333333333333
Anson,2022-01-03,0.979333333333333
Anson,2022-01-04,0.979333333333333
Anson,2022-01-05,0.979333333333333
Anson,2022-01-06,0.979333333333333
Anson,2022-01-07,0.979333333333333
Anson,2022-01-08,0.979333333333333
Anson,2022-01-09,0.979333333333333
Anson,2022-01-10,0.979333333333333
Anson,2022-01-11,0.979333333333333
Anson,2022-01-12,0.979333333333333
Anson,2022-01-13,0.979333333333333
Ashe,2021-10-08,0.202666666666667
Ashe,2021-10-09,0.131
Ashe,2021-10-10,0.0576666666666667
Ashe,2021-10-11,0.024
Ashe,2021-10-12,0.00866666666666667
Ashe,2021-10-13,0.00533333333333333
Ashe,2021-10-14,0.00266666666666667
Ashe,2021-10-15,0.00233333333333333
Ashe,2021-10-16,0.003
Ashe,2021-10-17,0.00333333333333333
Ashe,2021-10-18,0.003
Ashe,2021-10-19,0.00466666666666667
Ashe,2021-10-20,0.00866666666666667
Ashe,2021-10-21,0.019
Ashe,2021-10-22,0.0513333333333333
Ashe,2021-10-23,0.105666666666667
Ashe,2021-10-24,0.211666666666667
Ashe,2021-10-25,0.313
Ashe,2021-10-26,0.433
Ashe,2021-10-27,0.558
Ashe,2021-10-28,0.677333333333333
Ashe,2021-10-29,0.768
Ashe,2021-10-30,0.841333333333333
Ashe,2021-10-31,0.894
Ashe,2021-11-01,0.931
Ashe,2021-11-02,0.955666666666667
Ashe,2021-11-03,0.969
Ashe,2021-11-04,0.976333333333333
Ashe,2021-11-05,0.978333333333333
Ashe,2021-11-06,0.977333333333333
Ashe,2021-11-07,0.975666666666667
Ashe,2021-11-08,0.966
Ashe,2021-11-09,0.96
Ashe,2021-11-10,0.956666666666667
Ashe,2021-11-11,0.953666666666667
Ashe,2021-11-12,0.956
Ashe,2021-11-13,0.959333333333333
Ashe,2021-11-14,0.964333333333333
Ashe,2021-11-15,0.969
Ashe,2021-11-16,0.975333333333333
Ashe,2021-11-17,0.987666666666667
Ashe,2021-11-18,0.993
Ashe,2021-11-19,0.995666666666667
Ashe,2021-11-20,0.998333333333333
Ashe,2021-11-21,0.998333333333333
Ashe,2021-11-22,0.999333333333333
Ashe,2021-11-23,0.999666666666667
Ashe,2021-11-24,0.999333333333333
Ashe,2021-11-25,0.999333333333333
Ashe,2021-11-26,0.999333333333333
Ashe,2021-11-27,0.999333333333333
Ashe,2021-11-28,0.999666666666667
Ashe,2021-11-29,1
Ashe,2021-11-30,1
Ashe,2021-12-01,0.998
Ashe,2021-12-02,0.993
Ashe,2021-12-03,0.977
Ashe,2021-12-04,0.907333333333333
Ashe,2021-12-05,0.82
Ashe,2021-12-06,0.692666666666667
Ashe,2021-12-07,0.555666666666667
Ashe,2021-12-08,0.433
Ashe,2021-12-09,0.329333333333333
Ashe,2021-12-10,0.257
Ashe,2021-12-11,0.204
Ashe,2021-12-12,0.167333333333333
Ashe,2021-12-13,0.137333333333333
Ashe,2021-12-14,0.122333333333333
Ashe,2021-12-15,0.123333333333333
Ashe,2021-12-16,0.142
Ashe,2021-12-17,0.183666666666667
Ashe,2021-12-18,0.262666666666667
Ashe,2021-12-19,0.398666666666667
Ashe,2021-12-20,0.506
Ashe,2021-12-21,0.566
Ashe,2021-12-22,0.604
Ashe,2021-12-23,0.630333333333333
Ashe,2021-12-24,0.648666666666667
Ashe,2021-12-25,0.656333333333333
Ashe,2021-12-26,0.665333333333333
Ashe,2021-12-27,0.676333333333333
Ashe,2021-12-28,0.683666666666667
Ashe,2021-12-29,0.686333333333333
Ashe,2021-12-30,0.686333333333333
Ashe,2021-12-31,0.686333333333333
Ashe,2022-01-01,0.686333333333333
Ashe,2022-01-02,0.686333333333333
Ashe,2022-01-03,0.686333333333333
Ashe,2022-01-04,0.686333333333333
Ashe,2022-01-05,0.686333333333333
Ashe,2022-01-06,0.686333333333333
Ashe,2022-01-07,0.686333333333333
Ashe,2022-01-08,0.686333333333333
Ashe,2022-01-09,0.686333333333333
Ashe,2022-01-10,0.686333333333333
Ashe,2022-01-11,0.686333333333333
Ashe,2022-01-12,0.686333333333333
Ashe,2022-01-13,0.686333333333333
Avery,2021-10-08,0.360666666666667
Avery,2021-10-09,0.347666666666667
Avery,2021-10-10,0.327
Avery,2021-10-11,0.308333333333333
Avery,2021-10-12,0.284
Avery,2021-10-13,0.256333333333333
Avery,2021-10-14,0.239
Avery,2021-10-15,0.218333333333333
Avery,2021-10-16,0.199333333333333
Avery,2021-10-17,0.176
Avery,2021-10-18,0.161
Avery,2021-10-19,0.149333333333333
Avery,2021-10-20,0.139666666666667
Avery,2021-10-21,0.130333333333333
Avery,2021-10-22,0.120666666666667
Avery,2021-10-23,0.121333333333333
Avery,2021-10-24,0.114333333333333
Avery,2021-10-25,0.106
Avery,2021-10-26,0.107666666666667
Avery,2021-10-27,0.108
Avery,2021-10-28,0.107666666666667
Avery,2021-10-29,0.108
Avery,2021-10-30,0.112333333333333
Avery,2021-10-31,0.112333333333333
Avery,2021-11-01,0.112333333333333
Avery,2021-11-02,0.114666666666667
Avery,2021-11-03,0.120333333333333
Avery,2021-11-04,0.125666666666667
Avery,2021-11-05,0.126
Avery,2021-11-06,0.139333333333333
Avery,2021-11-07,0.155
Avery,2021-11-08,0.178
Avery,2021-11-09,0.198666666666667
Avery,2021-11-10,0.226
Avery,2021-11-11,0.26
Avery,2021-11-12,0.300666666666667
Avery,2021-11-13,0.362666666666667
Avery,2021-11-14,0.419333333333333
Avery,2021-11-15,0.485333333333333
Avery,2021-11-16,0.549333333333333
Avery,2021-11-17,0.622666666666667
Avery,2021-11-18,0.687
Avery,2021-11-19,0.753
Avery,2021-11-20,0.811333333333333
Avery,2021-11-21,0.859333333333333
Avery,2021-11-22,0.904666666666667
Avery,2021-11-23,0.936
Avery,2021-11-24,0.959666666666667
Avery,2021-11-25,0.976
Avery,2021-11-26,0.985333333333333
Avery,2021-11-27,0.99
Avery,2021-11-28,0.994333333333333
Avery,2021-11-29,0.995666666666667
